id,default_unit_id
ing-pro-banaan,stuk
ing-pro-kip,g
ing-pro-komkommer,stuk
ing-pro-ui,stuk
ing-pro-knoflook,teen
ing-pro-aardappel,g
ing-pro-tomaat,stuk
ing-pro-wortel,stuk
ing-pro-ei,stuk
ing-pro-chilipeper,stuk
ing-sea-paprikapoeder,g
ing-sea-knoflookpoeder,g
ing-sea-zout,g
ing-sea-zwartepeper,g
ing-vit-d3,iu
ing-sup-creatine,g
ing-min-kalium,g
ing-min-ijzer,g
ing-vit-vitamine-a,iu
ing-sup-beta-alanine,g
ing-pro-rijst,g
ing-pro-olie,ml
ing-suiker,g
ing-mac-maïszetmeel,g
ing-pro-boter,g
ing-pro-tarwebloem,g
ing-pro-kaas,g
ing-pro-zonnebloemolie,ml
ing-macro-whey,g
ing-mac-dextrose,g
ing-mac-soja-eiwit,g
ing-pro-bouillon,ml
