log_id;user_id;log_date
1;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-07-24
2;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-07-25
3;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-07-26
4;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-07-31
5;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-08-01
6;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-09-01
7;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-09-02
8;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-09-03
9;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-09-12
10;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-09-13
11;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-10-31
12;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-11-09
13;a1b2c3d4-e5f6-7890-1234-567890abcdef;1991-12-25
14;a1b2c3d4-e5f6-7890-1234-567890abcdef;1992-04-26
15;a1b2c3d4-e5f6-7890-1234-567890abcdef;1992-05-11
